Run,Total Distance,Finished,Times Charged,Battery Threshold,Num Stations
187,3923,True,16,0.4,20.0
188,3380,True,16,0.4,20.0
189,3888,True,17,0.4,20.0
190,4247,True,18,0.4,20.0
191,4117,True,18,0.4,20.0
192,3275,True,14,0.4,20.0
193,3895,True,16,0.4,20.0
194,3392,True,16,0.4,20.0
195,3883,True,17,0.4,20.0
196,3519,True,16,0.4,20.0
197,3255,True,14,0.4,20.0
198,1570,False,7,0.4,20.0
199,4301,True,20,0.4,20.0
200,318,False,0,0.4,20.0
1,3488,True,14,0.4,20.0
2,4368,True,18,0.4,20.0
3,3119,True,14,0.4,20.0
4,1776,False,8,0.4,20.0
5,3869,True,16,0.4,20.0
6,3995,True,18,0.4,20.0
7,3975,True,16,0.4,20.0
8,3358,True,15,0.4,20.0
9,3509,True,16,0.4,20.0
10,3462,True,15,0.4,20.0
11,4077,True,16,0.4,20.0
12,3800,True,16,0.4,20.0
13,4284,True,19,0.4,20.0
14,3877,True,17,0.4,20.0
15,3474,True,15,0.4,20.0
16,3932,True,18,0.4,20.0
17,4290,True,19,0.4,20.0
18,3781,True,17,0.4,20.0
19,4033,True,17,0.4,20.0
20,3722,True,15,0.4,20.0
21,3408,True,14,0.4,20.0
22,4009,True,18,0.4,20.0
23,3529,True,14,0.4,20.0
24,3902,True,18,0.4,20.0
25,4183,True,16,0.4,20.0
26,3297,True,15,0.4,20.0
27,3886,True,17,0.4,20.0
28,3729,True,17,0.4,20.0
29,3687,True,16,0.4,20.0
30,3993,True,17,0.4,20.0
31,3835,True,17,0.4,20.0
32,3648,True,16,0.4,20.0
33,3924,True,17,0.4,20.0
34,4185,True,17,0.4,20.0
35,3559,True,15,0.4,20.0
36,3788,True,17,0.4,20.0
37,3340,True,15,0.4,20.0
38,3625,True,17,0.4,20.0
39,4040,True,16,0.4,20.0
40,4460,True,18,0.4,20.0
41,3855,True,17,0.4,20.0
42,3346,True,14,0.4,20.0
43,3745,True,16,0.4,20.0
44,3782,True,17,0.4,20.0
45,3998,True,18,0.4,20.0
46,3637,True,16,0.4,20.0
47,4650,True,20,0.4,20.0
48,4111,True,18,0.4,20.0
49,3374,True,16,0.4,20.0
50,3508,True,16,0.4,20.0
51,4134,True,18,0.4,20.0
52,3818,True,17,0.4,20.0
53,4228,True,18,0.4,20.0
54,4217,True,18,0.4,20.0
55,3984,True,18,0.4,20.0
56,3243,True,15,0.4,20.0
57,3865,True,18,0.4,20.0
58,3494,True,16,0.4,20.0
59,3883,True,16,0.4,20.0
60,3771,True,17,0.4,20.0
61,3665,True,16,0.4,20.0
62,4349,True,18,0.4,20.0
63,313,False,0,0.4,20.0
64,3585,True,19,0.4,20.0
65,4069,True,19,0.4,20.0
66,4121,True,19,0.4,20.0
